id;name;email;phone;value;discount;valor_com_desconto
1036;Cody Daniel;purus.gravida.sagittis@sagittis.ca;+558793574996;R$ 85,31;R$ 36,00;R$ 49,31
1037;Kaden Gay;imperdiet.erat.nonummy@quamdignissimpharetra.ca;+553153287551;R$ 54,47;R$ 47,00;R$ 7,47
1038;Kareem Kelsie;Fusce@varius.com;+556191063909;R$ 82,58;R$ 70,00;R$ 12,58
1039;Raphael Christine;eget@tellusjusto.edu;+559698605501;R$ 65,15;R$ 58,00;R$ 7,15
1040;Orlando Octavia;dolor.nonummy.ac@sit.ca;+551547551187;R$ 61,49;R$ 6,00;R$ 55,49
1041;Ava Hyacinth;molestie@atsem.co.uk;+555273171420;R$ 73,26;R$ 42,00;R$ 31,26
1042;Paul Noble;Etiam@duiinsodales.net;+552688927377;R$ 26,63;R$ 5,00;R$ 21,63
1043;Maryam Caldwell;egestas@ipsumprimisin.edu;+554033959215;R$ 56,68;R$ 13,00;R$ 43,68
1044;Timon Finn;diam@liberoDonecconsectetuer.co.uk;+557267645824;R$ 84,18;R$ 6,00;R$ 78,18
1045;Amethyst Erin;mi.enim@fermentum.com;+557715369353;R$ 94,92;R$ 55,00;R$ 39,92
1046;Dexter Quin;sit@euismodetcommodo.net;+551902146816;R$ 90,59;R$ 38,00;R$ 52,59
1047;Tobias Orson;et.magnis.dis@Aliquamtincidunt.net;+555895348218;R$ 79,01;R$ 50,00;R$ 29,01
1048;Xanthus Amy;tincidunt.congue@loremloremluctus.com;+552431418447;R$ 7,38;R$ 58,00;R$ -50,62
1049;Todd Ivor;nec.tempus.scelerisque@lorem.org;+555836487155;R$ 36,10;R$ 75,00;R$ -38,90
1050;Aladdin Dustin;luctus.et.ultrices@Nullatinciduntneque.co.uk;+554485868528;R$ 89,57;R$ 39,00;R$ 50,57
1051;Caesar Xanthus;arcu.vel.quam@interdumliberodui.ca;+554878956781;R$ 56,24;R$ 92,00;R$ -35,76
1052;Madaline Glenna;vel@eu.org;+552556753989;R$ 18,40;R$ 31,00;R$ -12,60
1053;Imogene Katelyn;sem@ategestasa.com;+557651840040;R$ 99,25;R$ 70,00;R$ 29,25
1054;Maggie Kiona;arcu.et.pede@ametnulla.com;+559346449066;R$ 3,37;R$ 12,00;R$ -8,63
1055;Melvin Ginger;in.tempus@et.com;+553973592227;R$ 80,31;R$ 38,00;R$ 42,31
1056;Cynthia Tatiana;ipsum.nunc.id@faucibusutnulla.edu;+559229431414;R$ 18,43;R$ 59,00;R$ -40,57
1057;Carson Blake;Praesent@luctus.ca;+557277151534;R$ 14,43;R$ 15,00;R$ -0,57
1058;Baxter Aspen;dolor.Fusce@arcu.org;+553236724775;R$ 40,62;R$ 45,00;R$ -4,38
1059;Clare Drake;nibh@Donecporttitortellus.ca;+556075685958;R$ 83,33;R$ 21,00;R$ 62,33
1060;Uriah Burton;facilisis@Maurisvelturpis.edu;+551042046617;R$ 2,00;R$ 11,00;R$ -9,00
1061;Graiden Kasper;sed.libero@orcisemeget.co.uk;+552112639792;R$ 32,17;R$ 24,00;R$ 8,17
1062;Clark Abraham;ac.metus@arcuVestibulumut.net;+558013191580;R$ 52,14;R$ 43,00;R$ 9,14
1063;Janna Geraldine;erat.eget@Etiamgravida.co.uk;+557126739350;R$ 14,90;R$ 72,00;R$ -57,10
1064;Coby Xena;ante.Nunc@non.co.uk;+554214989683;R$ 12,94;R$ 37,00;R$ -24,06
1065;Kessie Yuli;consectetuer@vulputate.net;+557435426823;R$ 81,42;R$ 6,00;R$ 75,42
1066;Reagan Cruz;pede.ultrices@Sed.net;+555356515206;R$ 44,89;R$ 41,00;R$ 3,89
1067;Myles Alexander;sit.amet.ultricies@sodales.ca;+556829409457;R$ 19,42;R$ 67,00;R$ -47,58
1068;Jason Graiden;Morbi@semperdui.org;+558344242449;R$ 10,58;R$ 29,00;R$ -18,42
1069;Brett Miriam;Curae.Phasellus.ornare@facilisis.com;+552750926312;R$ 58,35;R$ 85,00;R$ -26,65
1070;Tobias Abraham;dolor.Fusce@etmagnisdis.org;+551131214453;R$ 46,95;R$ 50,00;R$ -3,05
1071;Declan Tamara;tempus@vitaeerat.net;+558667187201;R$ 71,40;R$ 61,00;R$ 10,40
1072;Patience Casey;ultrices.posuere.cubilia@liberoatauctor.co.uk;+550199860090;R$ 16,76;R$ 76,00;R$ -59,24
1073;Tashya Merrill;non.lacinia@magnaSuspendisse.co.uk;+558390639566;R$ 4,38;R$ 85,00;R$ -80,62
1074;Martena Solomon;nec@sed.com;+558161013710;R$ 59,85;R$ 20,00;R$ 39,85
1075;Rooney Thaddeus;ipsum.dolor.sit@odio.net;+552844320070;R$ 66,74;R$ 26,00;R$ 40,74
1076;Minerva Brielle;cursus.in@metusvitae.com;+556347434304;R$ 92,27;R$ 68,00;R$ 24,27
1077;Kiara Wang;Mauris.vel@velconvallisin.com;+551572459145;R$ 95,46;R$ 55,00;R$ 40,46
1078;Tiger Angelica;consequat.auctor.nunc@ipsumPhasellusvitae.edu;+552711341031;R$ 35,05;R$ 77,00;R$ -41,95
1079;Jorden Uriel;vestibulum.neque.sed@libero.co.uk;+558418316188;R$ 20,75;R$ 23,00;R$ -2,25
1080;Merritt Simone;velit.Cras.lorem@ipsumPhasellusvitae.com;+551476352230;R$ 4,49;R$ 78,00;R$ -73,51
1081;Gail Kermit;est@turpis.org;+552856323137;R$ 43,60;R$ 16,00;R$ 27,60
1082;Laith Kato;odio.Etiam@dui.ca;+552757758821;R$ 29,50;R$ 40,00;R$ -10,50
1083;Britanni Zelda;gravida.sagittis.Duis@utdolordapibus.co.uk;+557429553543;R$ 89,05;R$ 88,00;R$ 1,05
1084;Chanda Nissim;nonummy@liberoduinec.ca;+556776143185;R$ 96,80;R$ 1,00;R$ 95,80
1085;Tate Sopoline;in.cursus.et@mattisvelitjusto.co.uk;+552469530488;R$ 28,61;R$ 37,00;R$ -8,39
1086;Cameron Herrod;dictum@nislarcu.co.uk;+557953673849;R$ 76,62;R$ 38,00;R$ 38,62
1087;Sylvia Raymond;orci.luctus.et@pede.net;+551525832219;R$ 56,77;R$ 66,00;R$ -9,23
1088;Jason Zelda;eget.magna@atpede.ca;+553504357946;R$ 2,31;R$ 22,00;R$ -19,69
1089;Christen Autumn;hendrerit.neque.In@eleifendnondapibus.co.uk;+556293091043;R$ 66,90;R$ 78,00;R$ -11,10
1090;Aline Isaiah;Duis.dignissim.tempor@Duis.net;+552558878261;R$ 56,34;R$ 3,00;R$ 53,34
1091;Karleigh Gavin;eu@gravida.ca;+550243309123;R$ 87,03;R$ 54,00;R$ 33,03
1092;Penelope Grady;malesuada@rutrumloremac.co.uk;+557001775560;R$ 68,37;R$ 14,00;R$ 54,37
1093;Tamara Yael;lacinia.at@Suspendissetristique.ca;+559778499335;R$ 44,29;R$ 82,00;R$ -37,71
1094;Steel Darrel;dui.augue@cubiliaCurae.edu;+552500033069;R$ 91,66;R$ 7,00;R$ 84,66
1095;Myles Maya;Sed@orci.com;+555047115745;R$ 28,48;R$ 34,00;R$ -5,52
1096;Wyoming Reece;nec.eleifend.non@egestas.edu;+552277976444;R$ 88,77;R$ 29,00;R$ 59,77
1097;Arden Piper;in.dolor@at.ca;+552836614379;R$ 75,06;R$ 57,00;R$ 18,06
1098;Joy Ira;tempor.arcu.Vestibulum@non.ca;+552741473849;R$ 73,13;R$ 83,00;R$ -9,87
1099;Colby Ina;amet@gravidasagittisDuis.co.uk;+558278384155;R$ 36,56;R$ 4,00;R$ 32,56
8056;Nia Nickle;noodles@sbcglobal.net;+55555919295629;R$ 45,45;R$ 35,00;R$ -35,00
8094;Charisse Baltes;heine@aol.com;+55;R$ 45,44;R$ 12,00;R$ -12,00
8087;Shaunna Myers;tezbo@yahoo.ca;+554262968278;R$ 7,00;R$ 45,00;R$ -38,00
8019;Del Mayorga;aukjan@icloud.com;+552643852009;R$ 45,44;R$ 0,00;R$ 0,00
8027;Kandis Marchan;lstein@mac.com;+552096201483;R$ 10009,00;R$ 8,00;R$ 10001,00
8006;Myesha Vester;galbra@att.net;+556675841597;R$ 345,66;R$ 86,00;R$ -86,00
8041;Marietta Longley;krueger@live.com;+555899399074;R$ 99,90;R$ 0,00;R$ 0,00
8067;Vernell Tarr;yzheng@msn.com;+558597302692;R$ 99,90;R$ 5,00;R$ -5,00
8057;Syreeta Gilland;imightb@outlook.com;+554465588400;R$ 345,04;R$ 9,00;R$ -9,00
8068;Angelena Nettleton;sthomas@comcast.net;+555953141274;R$ 10,00;R$ 7,00;R$ -7,00
8010;Tashia Rasor;claesjac@hotmail.com;+55;R$ 23,45;R$ 45,00;R$ -45,00
8044;Cammie Nason;duchamp@yahoo.ca;+559042098844;R$ 95,85;R$ 4,00;R$ -4,00
8086;Jerica Eason;sthomas@optonline.net;+553203760680;R$ 10,00;R$ 12,00;R$ -12,00
8040;Lea Palencia;kidehen@optonline.net;+552665235211;R$ 878,45;R$ 0,00;R$ 0,00
8037;Marnie Gilmore;naoya@yahoo.ca;+55;R$ 45,34;R$ 0,00;R$ 0,00
8053;Ciera Weglarz;pavel@gmail.com;+553074606844;R$ 56,33;R$ 15,00;R$ -15,00
8055;Hildred Toll;bachmann@gmail.com;+556087208436;R$ 425,66;R$ 54,00;R$ -54,00
8001;Nannette Buse;lcheng@icloud.com;+556158902584;R$ 434,23;R$ 87,00;R$ -87,00
8017;Bessie Pressman;kjohnson@mac.com;+556753988151;R$ 343,34;R$ 43,00;R$ -43,00
8064;Herb Sheats;fwiles@aol.com;+55;R$ 55,00;R$ 3,00;R$ -3,00
8008;Christoper Kier;wmszeliga@msn.com;+55;R$ 23,45;R$ 0,00;R$ 0,00
8081;Jeneva Nesby;oster@me.com;+557636607815;R$ 435,22;R$ 5,00;R$ -5,00
8012;Raymundo Sawicki;parsimony@yahoo.ca;+55;R$ 45,44;R$ 76,00;R$ -76,00
8084;Eryn Coatney;daveewart@comcast.net;+558528870416;R$ 84,33;R$ 45,00;R$ -45,00
8039;Madie Brodeur;fwiles@aol.com;+557435436464;R$ 96,96;R$ 34,00;R$ -34,00
8080;Dell Burrus;kewley@me.com;+558686466765;R$ 45,45;R$ 66,00;R$ -66,00
8036;Jesica Sanger;madler@icloud.com;+552395047089;R$ 84,33;R$ 0,00;R$ 0,00
8026;Xochitl Spain;solomon@outlook.com;+553369730677;R$ 990,93;R$ 66,00;R$ -66,00
8045;Hoyt Greenan;dleconte@gmail.com;+55;R$ 435,22;R$ 0,00;R$ 0,00
8073;Shella Wold;satishr@gmail.com;+556406505262;R$ 345,66;R$ 36,00;R$ -36,00
8021;Sang Drexler;improv@yahoo.ca;+555226566015;R$ 345,09;R$ 10,00;R$ -10,00
8065;Katerine Ledger;rhavyn@live.com;+55;R$ 878,45;R$ 3,00;R$ -3,00
8070;Patti Catalfamo;janusfury@me.com;+558853468712;R$ 875,06;R$ 0,00;R$ 0,00
8033;Lacie Dewall;ateniese@aol.com;+556267265426;R$ 10009,00;R$ 3,00;R$ 10006,00
8054;Tasha Pergande;podmaster@sbcglobal.net;+557354898413;R$ 345,66;R$ 5,00;R$ -5,00
8077;Mae Crays;shazow@yahoo.ca;+55;R$ 666,00;R$ 4,00;R$ 662,00
8038;Andra Rudy;gknauss@msn.com;+555335293355;R$ 425,66;R$ 34,00;R$ -34,00
8043;Pamela Fernald;nimaclea@live.com;+55;R$ 12,00;R$ 76,00;R$ -64,00
8031;Brunilda Yarnall;danneng@aol.com;+552902243362;R$ 434,23;R$ 35,00;R$ -35,00
8023;Kia Langlais;aglassis@gmail.com;+556157993644;R$ 45,34;R$ 5,00;R$ -5,00
8098;Melba Wages;haddawy@optonline.net;+555927133780;R$ 345,33;R$ 0,00;R$ 0,00
8005;Ivy Schwabe;rohitm@gmail.com;+557175188335;R$ 65,90;R$ 4,00;R$ -4,00
8052;Andree Nagle;bbirth@outlook.com;+55;R$ 23,09;R$ 0,00;R$ 0,00
8074;Antionette Victory;rasca@verizon.net;+554523757620;R$ 7,00;R$ 0,00;R$ 7,00
8025;Rosetta Weddington;bastian@yahoo.ca;+55;R$ 345,12;R$ 0,00;R$ 0,00
8032;Gretta Leonard;ehood@comcast.net;+559216742547;R$ 3453,89;R$ 8,00;R$ -8,00
8075;Cleo Devino;chrisk@aol.com;+555807804704;R$ 990,93;R$ 0,00;R$ 0,00
8091;Yajaira Musich;hellfire@gmail.com;+554452611851;R$ 345,33;R$ 5,00;R$ -5,00
8020;Stuart Cartwright;sakusha@sbcglobal.net;+556958684478;R$ 949,52;R$ 0,00;R$ 0,00
8047;Kristin Aispuro;matloff@outlook.com;+559387938984;R$ 990,93;R$ 4,00;R$ -4,00
8085;Anja Staab;murty@att.net;+556927126321;R$ 345,33;R$ 65,00;R$ -65,00
8060;Janey Stennett;mcmillan@mac.com;+55;R$ 654,45;R$ 24,00;R$ -24,00
8066;Marcela Metz;zwood@icloud.com;+559766340841;R$ 65,90;R$ 45,00;R$ -45,00
8063;Delorse Stpeter;johndo@mac.com;+552597712878;R$ 95,85;R$ 0,00;R$ 0,00
8076;Camille Roberge;fallorn@gmail.com;+552316978113;R$ 949,52;R$ 0,00;R$ 0,00
8099;Alona Wagner;evans@sbcglobal.net;+55;R$ 1000,00;R$ 43,00;R$ 957,00
8059;Francesca Ollis;avalon@optonline.net;+558968169050;R$ 425,66;R$ 8,00;R$ -8,00
8002;Faye Leavell;johnbob@sbcglobal.net;+55;R$ 345,12;R$ 13,00;R$ -13,00
8058;Jama Arn;preneel@aol.com;+556065570751;R$ 343,34;R$ 5,00;R$ -5,00
8013;Luella Brinks;tsuruta@msn.com;+559942959644;R$ 23,09;R$ 12,00;R$ -12,00
8078;Glenna Mahlum;oechslin@msn.com;+557757295175;R$ 23,45;R$ 9,00;R$ -9,00
8003;Monte Loberg;pappp@aol.com;+558102434291;R$ 12,00;R$ 7,00;R$ 5,00
8062;Henrietta Scherr;debest@yahoo.com;+555186935645;R$ 534,99;R$ 12,00;R$ -12,00
8007;Anisa Garwood;dmiller@aol.com;+554005249843;R$ 949,52;R$ 65,00;R$ -65,00
8046;Slyvia Lonon;tangsh@sbcglobal.net;+553758483419;R$ 875,06;R$ 6,00;R$ -6,00
8095;Pete Avalos;ryanvm@gmail.com;+552835832672;R$ 96,96;R$ 66,00;R$ -66,00
8051;Ulysses Trantham;weidai@optonline.net;+556036664819;R$ 55,00;R$ 56,00;R$ -56,00
8048;Sophie Tassone;ullman@aol.com;+557286204178;R$ 534,99;R$ 66,00;R$ -66,00
8042;Idell Oba;duchamp@hotmail.com;+55;R$ 654,45;R$ 76,00;R$ -76,00
8009;Spencer Tomko;alfred@optonline.net;+555592706704;R$ 1000,00;R$ 23,00;R$ 977,00
8034;Dotty Edgemon;iapetus@me.com;+55;R$ 345,23;R$ 7,00;R$ -7,00
8050;Elba Wear;privcan@optonline.net;+554402361089;R$ 10,00;R$ 7,00;R$ -7,00
8082;Lura Snipe;dgriffith@optonline.net;+557842937392;R$ 435,22;R$ 87,00;R$ -87,00
8072;Marissa Burstein;lamprecht@att.net;+557147800209;R$ 878,45;R$ 34,00;R$ -34,00
8028;Amina Piotrowski;hahiss@aol.com;+559937115482;R$ 10009,00;R$ 0,00;R$ 10009,00
8049;Bill Levron;shrapnull@me.com;+55;R$ 666,00;R$ 0,00;R$ 666,00
8015;Sina Coover;ideguy@verizon.net;+554167221643;R$ 645,06;R$ 45,00;R$ -45,00
8083;Jasper Penrose;dhwon@optonline.net;+555384094426;R$ 345,09;R$ 76,00;R$ -76,00
8079;Lieselotte Titsworth;konit@live.com;+557678297298;R$ 345,12;R$ 45,00;R$ -45,00
8011;Maryjo Forshey;dowdy@sbcglobal.net;+55;R$ 960,89;R$ 0,00;R$ 0,00
8029;Maegan Border;scarolan@outlook.com;+557859002479;R$ 654,45;R$ 5,00;R$ -5,00
8014;Janee Mao;monkeydo@verizon.net;+552137551104;R$ 23,09;R$ 56,00;R$ -56,00
8092;Rozanne Hickle;madler@live.com;+552843207550;R$ 99,90;R$ 44,00;R$ -44,00
8030;Dung Fryman;gbacon@comcast.net;+557919352963;R$ 960,89;R$ 0,00;R$ 0,00
8022;Mary Menzel;dwendlan@sbcglobal.net;+553713037398;R$ 345,23;R$ 23,00;R$ -23,00
8024;Anh Dunavant;tubesteak@hotmail.com;+559992001908;R$ 1000,00;R$ 15,00;R$ 985,00
8088;Marna Bonetti;bonmots@hotmail.com;+55;R$ 12,00;R$ 86,00;R$ -74,00
8089;Rosemarie Guillot;airship@outlook.com;+557813773987;R$ 534,99;R$ 56,00;R$ -56,00
8093;Lupita Holford;dmbkiwi@comcast.net;+553756119553;R$ 7,00;R$ 6,00;R$ 1,00
8004;Wilton Ploss;oneiros@verizon.net;+55;R$ 56,33;R$ 34,00;R$ -34,00
8090;Chastity Ormiston;gtaylor@msn.com;+555617506195;R$ 3453,89;R$ 4,00;R$ -4,00
8071;Soledad Kehl;sharon@live.com;+552254700314;R$ 434,23;R$ 7,00;R$ -7,00
8097;June Limbaugh;sabren@aol.com;+55;R$ 875,06;R$ 23,00;R$ -23,00
8069;Marcia Cutter;lamky@live.com;+553628127899;R$ 645,06;R$ 0,00;R$ 0,00
8061;Tristan Schlueter;ilyaz@yahoo.ca;+552509692516;R$ 345,23;R$ 7,00;R$ -7,00
8096;Miquel Bridgett;purvis@live.com;+557068361363;R$ 645,06;R$ 56,00;R$ -56,00
8018;Eldora Bodin;augusto@me.com;+555754199060;R$ 345,04;R$ 54,00;R$ -54,00
8016;Lyndsay Saville;syrinx@verizon.net;+556417689668;R$ 666,00;R$ 36,00;R$ 630,00
8035;Ricky London;ilikered@me.com;+55;R$ 343,34;R$ 13,00;R$ -13,00
1;Channing Hayden;cursus.et.magna@Nullamsuscipitest.ca;+557221444062;R$ 96,55;R$ 0.00;R$ 96,55
2;Baker Alea;dapibus@scelerisque.co.uk;+558517300472;R$ 93,61;R$ 0.00;R$ 93,61
3;Jack Kylie;dictum.Proin@necenim.net;+552988214445;R$ 23,42;R$ 0.00;R$ 23,42
4;Edan Jayme;Vivamus.nibh.dolor@a.edu;+551232889428;R$ 78,24;R$ 0.00;R$ 78,24
5;Hanna Kaitlin;dui@nisl.net;+557267553600;R$ 4,17;R$ 0.00;R$ 4,17
6;Blaze Trevor;vitae.mauris.sit@id.net;+550824243358;R$ 63,69;R$ 0.00;R$ 63,69
7;Chandler Allistair;Fusce.feugiat.Lorem@Duisdignissimtempor.edu;+555302967551;R$ 2,79;R$ 0.00;R$ 2,79
8;Ivor Baxter;Nullam.suscipit.est@magnis.com;+550128798121;R$ 71,13;R$ 0.00;R$ 71,13
9;Jada Elliott;pede.Praesent.eu@acorci.edu;+557283465762;R$ 49,63;R$ 0.00;R$ 49,63
10;Shoshana Maggy;ipsum@aliquamiaculis.org;+559042470324;R$ 63,31;R$ 0.00;R$ 63,31
11;Lev Paki;mollis@orci.co.uk;+553334204230;R$ 70,30;R$ 0.00;R$ 70,30
12;Fritz Amela;Aliquam.tincidunt@sitamet.org;+552699350758;R$ 76,96;R$ 0.00;R$ 76,96
13;Shelley Leigh;sit@Vestibulumante.co.uk;+550286255278;R$ 57,74;R$ 0.00;R$ 57,74
14;Gregory August;lobortis.ultrices@Sedmolestie.com;+559364057385;R$ 94,33;R$ 0.00;R$ 94,33
15;Kyla Rebekah;lectus.a@malesuada.org;+557518684708;R$ 50,29;R$ 0.00;R$ 50,29
16;Lyle Kyle;consectetuer@anteNunc.com;+554100874806;R$ 97,15;R$ 0.00;R$ 97,15
17;Tamekah Melvin;vehicula.Pellentesque.tincidunt@duilectusrutrum.co.uk;+556379965688;R$ 55,38;R$ 0.00;R$ 55,38
18;Justina Rooney;eu.tempor@felisadipiscingfringilla.org;+554827136393;R$ 89,82;R$ 0.00;R$ 89,82
19;Yael Gareth;eget.magna@et.org;+554781621214;R$ 24,83;R$ 0.00;R$ 24,83
20;Alec Ariana;ante.ipsum@aliquamarcuAliquam.org;+557499101178;R$ 47,07;R$ 0.00;R$ 47,07
21;Vaughan Stephanie;semper@nisidictumaugue.edu;+557527775153;R$ 45,00;R$ 0.00;R$ 45,00
22;Kane Scott;nec.imperdiet.nec@nuncrisusvarius.net;+558248299704;R$ 0,31;R$ 0.00;R$ 0,31
23;Timon Carter;justo.eu@odioNaminterdum.com;+550851633563;R$ 5,88;R$ 0.00;R$ 5,88
24;Seth Fallon;felis.purus.ac@Vivamusnibh.edu;+556320617999;R$ 10,14;R$ 0.00;R$ 10,14
25;Chaney Ferris;vitae.sodales.at@Inlorem.edu;+553413509432;R$ 62,15;R$ 0.00;R$ 62,15
26;Indigo Kiayada;Nullam@etipsum.net;+552477798325;R$ 6,05;R$ 0.00;R$ 6,05
27;Kieran Ryan;ultrices.iaculis.odio@ornare.net;+550092963269;R$ 76,72;R$ 0.00;R$ 76,72
28;Hall Rama;lacinia.orci@Nullamvelit.ca;+555492539571;R$ 30,94;R$ 0.00;R$ 30,94
29;Yardley Hakeem;quam.elementum@Aliquam.ca;+551180473667;R$ 56,14;R$ 0.00;R$ 56,14
30;Cheyenne Noah;a.tortor@vitae.co.uk;+551790515787;R$ 91,83;R$ 0.00;R$ 91,83
31;Joseph Isabelle;Morbi.neque.tellus@nuncQuisque.com;+557346414767;R$ 18,47;R$ 0.00;R$ 18,47
32;Preston Harlan;Mauris@Suspendissealiquet.net;+556142668148;R$ 11,77;R$ 0.00;R$ 11,77
33;Sean Theodore;Nulla.interdum.Curabitur@a.net;+559636266885;R$ 38,26;R$ 0.00;R$ 38,26
34;Cole Tara;luctus.aliquet@sitametdiam.ca;+553524152433;R$ 77,40;R$ 0.00;R$ 77,40
35;Gregory Cherokee;feugiat@tellus.com;+557545215131;R$ 84,16;R$ 0.00;R$ 84,16
36;Brynne Keane;libero@tempor.ca;+552091555911;R$ 78,12;R$ 0.00;R$ 78,12
37;Hamilton Armand;sapien.Aenean.massa@facilisis.co.uk;+555104393817;R$ 10,91;R$ 0.00;R$ 10,91
38;Courtney Ivory;lacus.Aliquam.rutrum@eleifendnunc.net;+559781749315;R$ 86,53;R$ 0.00;R$ 86,53
39;Tatyana Josiah;euismod.est@mollisnon.net;+557367208450;R$ 74,90;R$ 0.00;R$ 74,90
40;Buckminster Gay;lobortis.nisi.nibh@Proinnisl.org;+555141411873;R$ 64,82;R$ 0.00;R$ 64,82
41;Warren Buckminster;Nulla.aliquet@vitaedolor.ca;+556767602107;R$ 99,34;R$ 0.00;R$ 99,34
42;Chiquita Caryn;Cras@nuncsit.net;+557599514902;R$ 80,67;R$ 0.00;R$ 80,67
43;Cally Beatrice;eget@hendreritDonecporttitor.edu;+559071364975;R$ 82,01;R$ 0.00;R$ 82,01
44;Kitra Flynn;Aliquam@magnaPhasellusdolor.org;+556088856133;R$ 75,77;R$ 0.00;R$ 75,77
45;Chancellor Xerxes;ipsum.nunc@ipsumdolorsit.co.uk;+555284693158;R$ 31,72;R$ 0.00;R$ 31,72
46;Hedwig Mollie;metus@Mauris.edu;+557337974457;R$ 25,95;R$ 0.00;R$ 25,95
47;Mikayla Amela;lorem.auctor@neque.co.uk;+559784925612;R$ 60,60;R$ 0.00;R$ 60,60
48;Gray Armand;ligula@sedconsequatauctor.co.uk;+550682538411;R$ 38,72;R$ 0.00;R$ 38,72
49;Jelani Bertha;erat.nonummy@ligulaelitpretium.org;+556604190157;R$ 80,60;R$ 0.00;R$ 80,60
50;Nicole Nomlanga;metus.facilisis@mauriselit.org;+554772739716;R$ 94,20;R$ 0.00;R$ 94,20
51;John Clark;elementum.sem.vitae@semeget.edu;+554682515530;R$ 97,08;R$ 0.00;R$ 97,08
